"lon","lat","unc"
-117.247309,33.153417,5
-98.312283,29.507439,NA
-97.876663,30.030317,8
-96.845031,33.050321,9
-97.686422,30.400803,900
-98.325194,29.681324,87
-98.727166,29.542014,9
-99.141002,30.042755,535
-98.617181,29.565972,101
-98.576867,29.261431,449
-98.709533,29.799539,27
-98.467309,29.72392,19
-98.262288,29.215658,NA
-118.342545,33.825672,258
-117.113053,32.864189,NA
-96.845481,33.050339,NA
-116.85659,32.791061,37
-117.939956,33.660542,NA
-98.469147,29.647677,20
-110.984388,32.45553,4
-99.149425,30.04962,NA
-99.124735,30.03331,4
-118.120755,34.203979,320
-98.536042,29.55748,3
-98.526404,29.563815,3
-117.312522,33.197636,NA
-118.120878,34.203583,41
-98.34825,29.684597,5
-117.946595,34.113356,NA
-122.300659,37.502249,2
-98.475817,29.628619,NA
-98.626833,29.557072,10
-117.942933,33.89935,3
-118.361376,34.005031,8
-117.315955,34.151711,35
-117.099126,34.044094,4
-98.456025,29.632213,3
-98.352219,29.687658,201
-98.548314,29.250151,9
-122.084273,37.284878,3
-117.220061,32.774123,NA
-99.409251,29.80189,4
-99.273755,30.189747,2
-118.441108,33.94997,5
-98.084572,30.219177,8
-121.880976,37.236091,4
-118.813516,34.099029,228
-117.014554,32.82141,1
-116.454598,32.749603,NA
-98.578636,29.2638,215
-98.500158,29.310921,4
-98.495842,29.3107,5
-98.578636,29.2638,215
-97.486489,32.848214,4
